date_added,hq,name,sector,symbol
2017-03-20,"St. Petersburg, Florida",Raymond James Financial,Financials,RJF
1957-03-04,"Waltham, Massachusetts",RTX Corporation,Industrials,RTX
2015-04-07,"San Diego, California",Realty Income,Real Estate,O
2017-03-02,Jacksonville,Regency Centers,Real Estate,REG
2013-05-01,"Tarrytown, New York",Regeneron Pharmaceuticals,Health Care,REGN
1998-08-28,"Birmingham, Alabama",Regions Financial Corporation,Financials,RF
2008-12-05,"Phoenix, Arizona",Republic Services,Industrials,RSG
2017-07-26,"San Diego, California",ResMed,Health Care,RMD
1985-05-31,"Waltham, Massachusetts",Revvity,Health Care,RVTY
2000-03-12,"Milwaukee, Wisconsin",Rockwell Automation,Industrials,ROK
2018-10-01,"Atlanta, Georgia","Rollins, Inc.",Industrials,ROL
2009-12-23,"Sarasota, Florida",Roper Technologies,Information Technology,ROP
2009-12-21,"Dublin, California",Ross Stores,Consumer Discretionary,ROST
2014-12-05,"Miami, Florida",Royal Caribbean Group,Consumer Discretionary,RCL
1957-03-04,"New York City, New York",S&P Global,Financials,SPGI
2008-09-15,"San Francisco, California",Salesforce,Information Technology,CRM
2017-09-01,"Boca Raton, Florida",SBA Communications,Real Estate,SBAC
1957-03-04,"Houston, Texas",Schlumberger,Energy,SLB
2012-07-02,"Dublin, Ireland",Seagate Technology,Information Technology,STX
2017-03-17,"San Diego, California",Sempra,Utilities,SRE
2019-11-21,"Santa Clara, California",ServiceNow,Information Technology,NOW
1964-06-30,"Cleveland, Ohio",Sherwin-Williams,Materials,SHW
2002-06-26,"Indianapolis, Indiana",Simon Property Group,Real Estate,SPG
2015-03-12,"Irvine, California",Skyworks Solutions,Information Technology,SWKS
2008-11-06,"Orrville, Ohio",J.M. Smucker Company (The),Consumer Staples,SJM
2024-07-08,"Dublin, Ireland",Smurfit WestRock,Materials,SW
1982-09-30,"Kenosha, Wisconsin",Snap-on,Industrials,SNA
2024-04-01,"Saint Paul, Minnesota",Solventum,Health Care,SOLV
1957-03-04,"Atlanta, Georgia",Southern Company,Utilities,SO
1994-07-01,"Dallas, Texas",Southwest Airlines,Industrials,LUV
1982-09-30,"New Britain, Connecticut",Stanley Black & Decker,Industrials,SWK
2000-06-07,"Seattle, Washington",Starbucks,Consumer Discretionary,SBUX
2003-03-14,"Boston, Massachusetts",State Street Corporation,Financials,STT
2022-12-22,"Fort Wayne, Indiana",Steel Dynamics,Materials,STLD
2019-12-23,"Dublin, Ireland",Steris,Health Care,STE
2000-12-12,"Kalamazoo, Michigan",Stryker Corporation,Health Care,SYK
2024-03-18,"San Jose, California",Supermicro,Information Technology,SMCI
2015-11-18,"Stamford, Connecticut",Synchrony Financial,Financials,SYF
2017-03-16,"Sunnyvale, California",Synopsys,Information Technology,SNPS
1986-12-31,"Houston, Texas",Sysco,Consumer Staples,SYY
2019-07-15,"Bellevue, Washington",T-Mobile US,Communication Services,TMUS
2019-07-29,"Baltimore, Maryland",T. Rowe Price,Financials,TROW
2018-03-19,"New York City, New York",Take-Two Interactive,Communication Services,TTWO
2004-09-01,"New York City, New York","Tapestry, Inc.",Consumer Discretionary,TPR
2022-10-12,"Houston, Texas",Targa Resources,Energy,TRGP
1976-12-31,"Minneapolis, Minnesota",Target Corporation,Consumer Staples,TGT
2011-10-17,"Galway, Ireland",TE Connectivity,Information Technology,TEL
2020-06-22,"Thousand Oaks, California",Teledyne Technologies,Information Technology,TDY
2019-01-18,"Wayne, Pennsylvania",Teleflex,Health Care,TFX
2020-09-21,"North Reading, Massachusetts",Teradyne,Information Technology,TER
2020-12-21,"Austin, Texas","Tesla, Inc.",Consumer Discretionary,TSLA
2001-03-12,"Dallas, Texas",Texas Instruments,Information Technology,TXN
2024-11-26,"Dallas, Texas",Texas Pacific Land Corporation,Energy,TPL
1978-12-31,"Providence, Rhode Island",Textron,Industrials,TXT
2004-08-03,"Waltham, Massachusetts",Thermo Fisher Scientific,Health Care,TMO
1985-09-30,"Framingham, Massachusetts",TJX Companies,Consumer Discretionary,TJX
2014-01-24,"Brentwood, Tennessee",Tractor Supply,Consumer Discretionary,TSCO
2010-11-17,"Dublin, Ireland",Trane Technologies,Industrials,TT
2016-06-03,"Cleveland, Ohio",TransDigm Group,Industrials,TDG
2002-08-21,"New York City, New York",Travelers Companies (The),Financials,TRV
2021-01-21,"Westminster, Colorado",Trimble Inc.,Information Technology,TRMB
1997-12-04,"Charlotte, North Carolina",Truist Financial,Financials,TFC
2020-06-22,"Plano, Texas",Tyler Technologies,Information Technology,TYL
2005-08-10,"Springdale, Arkansas",Tyson Foods,Consumer Staples,TSN
1999-11-01,"Minneapolis, Minnesota",U.S. Bancorp,Financials,USB
2023-12-18,"San Francisco, California",Uber,Industrials,UBER
2016-03-07,"Highlands Ranch, Colorado","UDR, Inc.",Real Estate,UDR
2016-04-18,"Bolingbrook, Illinois",Ulta Beauty,Consumer Discretionary,ULTA
1957-03-04,"Omaha, Nebraska",Union Pacific Corporation,Industrials,UNP
2015-09-03,"Chicago, Illinois",United Airlines Holdings,Industrials,UAL
2002-07-22,"Sandy Springs, Georgia",United Parcel Service,Industrials,UPS
2014-09-20,"Stamford, Connecticut",United Rentals,Industrials,URI
1994-07-01,"Minnetonka, Minnesota",UnitedHealth Group,Health Care,UNH
2014-09-20,"King of Prussia, Pennsylvania",Universal Health Services,Health Care,UHS
2002-12-20,"San Antonio, Texas",Valero Energy,Energy,VLO
2009-03-04,"Chicago, Illinois",Ventas,Real Estate,VTR
2023-10-02,"Waltham, Massachusetts",Veralto,Industrials,VLTO
2006-02-01,"Dulles, Virginia",Verisign,Information Technology,VRSN
2015-10-08,"Jersey City, New Jersey",Verisk Analytics,Industrials,VRSK
1983-11-30,"New York City, New York",Verizon,Communication Services,VZ
2013-09-23,"Boston, Massachusetts",Vertex Pharmaceuticals,Health Care,VRTX
2004-04-23,"Pittsburgh, Pennsylvania",Viatris,Health Care,VTRS
2022-06-08,"New York City, New York",Vici Properties,Real Estate,VICI
2009-12-21,"San Francisco, California",Visa Inc.,Financials,V
2024-05-08,"Irving, Texas",Vistra Corp,Utilities,VST
1999-06-30,"Birmingham, Alabama",Vulcan Materials Company,Materials,VMC
2019-12-05,"Greenwich, Connecticut",W. R. Berkley Corporation,Financials,WRB
1981-06-30,"Lake Forest, Illinois",W. W. Grainger,Industrials,GWW
2019-02-27,"Pittsburgh, Pennsylvania",Wabtec,Industrials,WAB
1979-12-31,"Deerfield, Illinois",Walgreens Boots Alliance,Consumer Staples,WBA
1982-08-31,"Bentonville, Arkansas",Walmart,Consumer Staples,WMT
1976-06-30,"Burbank, California",Walt Disney Company (The),Communication Services,DIS
2022-04-11,"New York City, New York",Warner Bros. Discovery,Communication Services,WBD
1998-08-31,"Houston, Texas",Waste Management,Industrials,WM
2002-01-02,"Milford, Massachusetts",Waters Corporation,Health Care,WAT
2008-10-31,"Milwaukee, Wisconsin",WEC Energy Group,Utilities,WEC
1976-06-30,"San Francisco, California",Wells Fargo,Financials,WFC
2009-01-30,"Toledo, Ohio",Welltower,Real Estate,WELL
2020-05-22,"Exton, Pennsylvania",West Pharmaceutical Services,Health Care,WST
2009-07-01,"San Jose, California",Western Digital,Information Technology,WDC
1979-10-01,"Seattle, Washington",Weyerhaeuser,Real Estate,WY
1975-03-31,"Tulsa, Oklahoma",Williams Companies,Energy,WMB
2016-01-05,"London, United Kingdom",Willis Towers Watson,Financials,WTW
2024-12-23,"Pleasanton, California","Workday, Inc.",Information Technology,WDAY
2008-11-14,"Paradise, Nevada",Wynn Resorts,Consumer Discretionary,WYNN
1957-03-04,"Minneapolis, Minnesota",Xcel Energy,Utilities,XEL
2011-11-01,"White Plains, New York",Xylem Inc.,Industrials,XYL
1997-10-06,"Louisville, Kentucky",Yum! Brands,Consumer Discretionary,YUM
2019-12-23,"Lincolnshire, Illinois",Zebra Technologies,Information Technology,ZBRA
2001-08-07,"Warsaw, Indiana",Zimmer Biomet,Health Care,ZBH
2013-06-21,"Parsippany, New Jersey",Zoetis,Health Care,ZTS
